jd_utc,alt_m,lat_deg,lon_deg,wx_rad_s,wy_rad_s,wz_rad_s
2.45154e+06,249569,26.8845,-126.466,0,0,0
2.45155e+06,249578,26.9153,-126.357,-1.3783e-07,-6.23485e-06,-2.89916e-07
2.45155e+06,249670,27.2212,-125.645,-1.70045e-06,-6.87277e-05,-3.24411e-06
2.45155e+06,249761,27.5239,-124.929,-3.598e-06,-0.000131445,-6.23735e-06
2.45155e+06,249851,27.8233,-124.209,-5.82893e-06,-0.00019444,-9.21252e-06
2.45155e+06,249940,28.1193,-123.486,-8.38138e-06,-0.000257713,-1.21958e-05
2.45155e+06,250028,28.4119,-122.759,-1.12423e-05,-0.000321312,-1.51606e-05
2.45155e+06,250116,28.7011,-122.028,-1.44015e-05,-0.00038526,-1.81114e-05
2.45155e+06,250202,28.9867,-121.294,-1.78475e-05,-0.000449547,-2.11653e-05
2.45155e+06,250287,29.2687,-120.555,-2.15735e-05,-0.000514182,-2.43515e-05
2.45155e+06,250371,29.5471,-119.813,-2.5576e-05,-0.000579208,-2.75382e-05
2.45155e+06,250454,29.8217,-119.067,-2.98505e-05,-0.000644635,-3.07281e-05
2.45155e+06,250536,30.0926,-118.318,-3.43924e-05,-0.00071046,-3.39297e-05
2.45155e+06,250617,30.3596,-117.564,-3.91956e-05,-0.000776685,-3.71298e-05
2.45155e+06,250696,30.6228,-116.807,-4.4726e-05,-0.00084777,-4.21016e-05
2.45155e+06,250774,30.8819,-116.046,-5.05785e-05,-0.000919618,-4.72376e-05
2.45155e+06,250851,31.1371,-115.281,-5.67089e-05,-0.00099178,-5.23624e-05
2.45155e+06,250926,31.3881,-114.512,-6.31156e-05,-0.00106424,-5.74753e-05
2.45155e+06,251000,31.6351,-113.739,-6.97974e-05,-0.00113697,-6.25736e-05
2.45155e+06,251072,31.8778,-112.962,-7.67589e-05,-0.00120996,-6.76754e-05
2.45155e+06,251143,32.1162,-112.182,-8.37164e-05,-0.00127566,-7.45854e-05
2.45155e+06,251212,32.3503,-111.398,-9.04081e-05,-0.00133207,-8.26122e-05
2.45155e+06,251280,32.58,-110.61,-9.7161e-05,-0.00138811,-8.97296e-05
2.45155e+06,251346,32.8053,-109.818,-0.000104119,-0.00144426,-9.68727e-05
2.45155e+06,251411,33.026,-109.023,-0.000111276,-0.00150041,-0.000104056
2.45155e+06,251474,33.2422,-108.224,-0.000119063,-0.00155866,-0.000111916
2.45155e+06,251535,33.4538,-107.421,-0.000127562,-0.00161926,-0.000120563
2.45155e+06,251594,33.6606,-106.614,-0.000136406,-0.00168007,-0.000129138
2.45155e+06,251651,33.8627,-105.804,-0.000145582,-0.00174106,-0.000137567
2.45155e+06,251707,34.06,-104.991,-0.000155131,-0.0018022,-0.00014594
2.45155e+06,251761,34.2525,-104.174,-0.00016568,-0.00186613,-0.000155735
2.45155e+06,251813,34.44,-103.353,-0.000176613,-0.00193004,-0.000165727
2.45155e+06,251863,34.6225,-102.529,-0.000186723,-0.00198243,-0.000176033
2.45155e+06,251911,34.8,-101.701,-0.000197621,-0.00203632,-0.000186893
2.45155e+06,251957,34.9724,-100.87,-0.000209424,-0.00209283,-0.000198447
2.45155e+06,252001,35.1397,-100.036,-0.000221541,-0.00214893,-0.000210009
2.45155e+06,252043,35.3018,-99.1992,-0.000234876,-0.00220705,-0.000222823
2.45155e+06,252083,35.4586,-98.3589,-0.000248637,-0.0022648,-0.000235427
2.45155e+06,252121,35.6102,-97.5155,-0.000264313,-0.00232633,-0.000250138
2.45155e+06,252157,35.7564,-96.6691,-0.000280999,-0.00238864,-0.000265524
2.45155e+06,252191,35.8972,-95.8199,-0.000298283,-0.00245071,-0.000280803
2.45155e+06,252223,36.0325,-94.9678,-0.000316218,-0.00251254,-0.000296044
2.45155e+06,252252,36.1624,-94.113,-0.000334826,-0.00257411,-0.000311269
2.45155e+06,252279,36.2868,-93.2557,-0.000354082,-0.00263535,-0.000326418
2.45155e+06,252305,36.4056,-92.3957,-0.000373994,-0.00269626,-0.000341496
2.45155e+06,252327,36.5187,-91.5334,-0.000394573,-0.0027568,-0.000356514
2.45155e+06,252348,36.6263,-90.6687,-0.000415337,-0.00281577,-0.000371795
2.45155e+06,252366,36.7281,-89.8018,-0.00043735,-0.00287615,-0.000387491
2.45155e+06,252383,36.8242,-88.9328,-0.00045977,-0.00293511,-0.000403587
2.45155e+06,252396,36.9146,-88.0618,-0.000483781,-0.00299678,-0.000420464
2.45155e+06,252408,36.9991,-87.1889,-0.000508295,-0.00305779,-0.000437138
2.45155e+06,252417,37.0779,-86.3142,-0.000533417,-0.00311814,-0.000453831
2.45155e+06,252424,37.1508,-85.4378,-0.000559167,-0.00317785,-0.000470596
2.45155e+06,252429,37.2178,-84.5599,-0.000585344,-0.00323605,-0.000487681
2.45155e+06,252431,37.2789,-83.6806,-0.000613112,-0.00329437,-0.000506709
2.45155e+06,252431,37.3342,-82.8,-0.000642707,-0.00335437,-0.000527072
